"Region","State","Project Name","Delivery Track","BTS / Customer","Site id","Site Name","Loading date from wi team","Permission Required Date","Complete date","TAT","Aging","WI TAT","TAT Remarks","Pending/YTS","Remarks","Another Remarks if Required","Work Order Status","Work Order (WO) Remarks"
"East","Orissa","CX4 to Conventional BH FY 25","BTS Survey","BTS","ORGT10809","Anandpur 1","45679.0","45681.0","45686.0","5","572","3.0","Outside TAT","Fully Completed","Previous survey TAT was 5 days","67","","NIL"
"East","Assam","CX4 to Conventional BH FY 25 Project","PMP Customer Installation","Customer","091DARR623037547145","TCS PASSPORT SEVA PROJECT","45656.0","45656.0","45659.0","3","597","5.0","In TAT","Fully Completed","67","","","NIL"
"East","Orissa","CX4 to Conventional BH FY 25","BTS Survey","BTS","ORGT17328","Butipalli / Burlipali","45679.0","45684.0","45685.0","1","569","3.0","In TAT","Fully Completed","67","","","NIL"
"East","Assam","PTP to PMP Phase-II Extn. Customer Migration","PMP Customer Installation","Customer","091GUWA6230A0060724","Hyundai Motor India Limited","45657.0","45657.0","45660.0","3","596","5.0","In TAT","Fully Completed","67","","","NIL"
"East","Jharkhand","PTP to PMP Phase-II Extn. Customer Migration","Customer Survey","Customer","091RANC623017021258","Bajaj Finance Limited","45646.0","45656.0","45661.0","5","597","3.0","Outside TAT","Fully Completed","Previous survey TAT was 5 days","67","","NIL"
"East","West Bengal","Top 34 Accounts","BTS Dismantle","BTS","WEBHOO1109","RISHRA_SC CHATTERJEE ST","45660.0","45660.0","45663.0","3","593","7.0","In TAT","Fully Completed","67","","","NIL"
"East","Orissa","BH migration from TTSL to alternate FY25","BTS Survey","BTS","ORGT12546","EBDKMATHSH","45661.0","45661.0","45662.0","1","592","3.0","In TAT","Fully Completed","67","","","NIL"
"East","Orissa","BH migration from TTSL to alternate FY25","PE Activity","UBR BH","IN-2035504","ORGT10305","45338.0","45338.0","45339.0","1","915","5.0","In TAT","Fully Completed","67","","","NIL"
"East","West Bengal","BH Augmentation - FY25_105","UBR BH Installation","UBR BH","WEBKOL2750","Koikhali","45318.0","45319.0","45325.0","6","934","5.0","Outside TAT","Fully Completed","Material faulty","67","","NIL"
"East","Orissa","BH migration from TTSL to alternate FY25","PE Activity","UBR BH","ORIBHA0068","Bankasahi Colony (Bhadrak)","45661.0","45661.0","45662.0","1","592","5.0","In TAT","Fully Completed","67","","","NIL"
"East","Orissa","BH migration from TTSL to alternate FY25","UBR BH Installation","UBR BH","ORIKEN0679","Kendrapara_004_GSM","45661.0","45661.0","45665.0","4","592","5.0","In TAT","Fully Completed","67","","","NIL"
"East","Orissa","RF Capacity augmentation 65 BS 100 to 45","BTS Installation","BTS","ORISUN0783","Rourkela_Sector_19(GSM)","45693.0","45693.0","45702.0","9","560","5.0","Outside TAT","Fully Completed","67","","","NIL"
"East","Bihar","RF Capacity augmentation 65 BS 100 to 45","BTS Installation","BTS","BIHPAT0269","Fatuwah-01","45693.0","45695.0","45700.0","5","558","5.0","In TAT","Fully Completed","67","","","NIL"
"East","Bihar","Low Potential BS dismantling–38 BS","BTS Dismantle","BTS","BRHY004555","OM NAGAR","45694.0","45695.0","45702.0","7","558","7.0","In TAT","Fully Completed","67","","","NIL"
"East","West Bengal","BH Augmentation - FY25_105","PE Activity","BTS","WEBHOW0249","Sankrail","45696.0","45696.0","45698.0","2","557","21.0","In TAT","Fully Completed","67","","","NIL"
"East","Bihar","L1-L2 improvement FY24 Ph-2, 80 sites","BTS Installation","BTS","BIHPAT0274","Patliputra Colony_Patna","45700.0","45700.0","45705.0","5","553","5.0","In TAT","Fully Completed","67","","","NIL"
"East","West Bengal","Non Performing BS Optimization FY 24","BTS Installation","BTS","EKOLKOLAGHAT1","ID-1007561","45700.0","45701.0","45703.0","2","552","5.0","In TAT","Fully Completed","67","","","NIL"
"East","Orissa","Emergency Relocation","BTS Survey","BTS","OR/RO/AT/667280","BRAMHINTARANG_R","45700.0","45703.0","45704.0","1","550","3.0","In TAT","Fully Completed","67","","","NIL"
"East","Orissa","Emergency Relocation","UBR BH Survey","UBR BH","ORIROU0713","Sector-5, Water Tank","45700.0","45703.0","45704.0","1","550","3.0","In TAT","Fully Completed","67","","","NIL"
"East","Orissa","BH Augmentation - FY25_105","PE Activity","UBR BH","ORIKHU0624","Bhubneshwar_064_GSM","45700.0","45702.0","45704.0","2","551","21.0","In TAT","Fully Completed","67","","","NIL"
"East","Jharkhand","BH Augmentation - FY25_105","PE Activity","UBR BH","JHAEAS1011","Sankosai","45700.0","45702.0","45704.0","2","551","21.0","In TAT","Fully Completed","67","","","NIL"
"East","Jharkhand","Low Potential BS dismantling–50 BS","BTS Dismantle","BTS","JHAEAS0132","BR42_Jam_Matamandir01","45700.0","45702.0","45710.0","8","551","7.0","Outside TAT","Fully Completed","67","","","NIL"
"East","Meghalaya","Top 34 Accounts","BTS Dismantle","BTS","MEGEAS0005","Nongthymmai","45702.0","45704.0","45724.0","20","549","7.0","Outside TAT","Fully Completed","67","","","NIL"
"East","West Bengal","Capacity Augmentation - UBR-Q2 FY 24","BTS Installation","BTS","WEBBUR0953","BURDWAN_007","45705.0","45705.0","45707.0","2","548","5.0","In TAT","Fully Completed","67","","","NIL"
"East","Orissa","Emergency Relocation","BTS Installation","BTS","OR/RO/AT/667280","BRAMHINTARANG_R","45723.0","45724.0","45727.0","3","529","3.0","In TAT","Fully Completed","67","","","NIL"
"East","West Bengal","BS Augment: UBR Backhaul to Direct FY24","PE Activity","BTS","WEBNOR0624","KALYANI CENTRAL PARK","45723.0","45723.0","45724.0","1","530","21.0","In TAT","Fully Completed","67","","","NIL"
"East","Assam","Capacity Diminution FY25","BTS Dismantle","BTS","ASMKAM0075","Zoo Road","45724.0","45724.0","45725.0","1","529","7.0","In TAT","Fully Completed","67","","","NIL"
"East","West Bengal","BS Augment: UBR Backhaul to Direct FY24","BTS Dismantle","BTS","WEBMUR0473","Jangipur","45724.0","45725.0","45728.0","3","528","7.0","In TAT","Fully Completed","67","","","NIL"
"East","Orissa","Emergency Relocation","BTS Installation","BTS","IN-2036029","Rajgangpur","45712.0","45713.0","45729.0","16","540","3.0","Outside TAT","Fully Completed","67","","","NIL"
"East","West Bengal","BS Augment: UBR Backhaul to Direct FY24","BTS Survey","BTS","WEBNAD0512","Chakdah","45740.0","45740.0","45741.0","1","513","3.0","In TAT","Fully Completed","67","","","NIL"
